Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10
15,0,1,34,55,14,42,43,43,79,79
15,1,34,55,33,14,42,43,43,79,79
15,0,34,55,33,14,42,43,43,79,79
15,0,1,55,33,14,42,43,43,79,79
15,0,1,34,33,14,42,43,43,79,79
15,1,34,55,33,14,42,43,43,79,79
15,0,34,55,33,14,42,43,43,79,79
15,0,1,55,33,14,42,43,43,79,79
15,0,1,34,33,14,42,43,43,79,79
15,0,1,34,55,14,42,43,43,79,79
4,2,3,18,56,14,42,43,43,79,79
4,3,18,56,33,14,42,43,43,79,79
4,2,18,56,33,14,42,43,43,79,79
4,2,3,56,33,14,42,43,43,79,79
4,2,3,18,33,14,42,43,43,79,79
4,3,18,56,33,14,42,43,43,79,79
4,2,18,56,33,14,42,43,43,79,79
4,2,3,56,33,14,42,43,43,79,79
4,2,3,18,33,14,42,43,43,79,79
4,2,3,18,56,14,42,43,43,79,79
16,4,5,35,6,13,15,43,43,79,79
16,4,35,6,13,15,42,43,43,79,79
16,4,5,6,13,15,42,43,43,79,79
16,4,5,35,13,15,42,43,43,79,79
16,4,5,35,6,15,42,43,43,79,79
16,4,5,35,6,13,42,43,43,79,79
16,5,35,6,13,15,42,43,43,79,79
16,4,35,6,13,15,42,43,43,79,79
16,4,5,6,13,15,42,43,43,79,79
16,4,5,35,13,15,42,43,43,79,79
9,0,6,20,42,36,43,79,43,79,79
9,6,20,42,36,43,79,43,43,79,79
9,0,20,42,36,43,79,43,43,79,79
9,0,6,42,36,43,79,43,43,79,79
9,0,6,20,36,43,79,43,43,79,79
9,0,6,20,42,43,79,43,43,79,79
9,0,6,20,42,36,79,43,43,79,79
9,0,6,20,42,36,43,43,43,79,79
9,0,6,20,42,36,43,79,43,79,79
9,0,6,20,42,36,43,79,43,79,79
14,0,1,4,31,73,42,43,43,79,79
14,0,4,31,73,14,42,43,43,79,79
14,0,1,31,73,14,42,43,43,79,79
14,0,1,4,73,14,42,43,43,79,79
14,0,1,4,31,14,42,43,43,79,79
14,1,4,31,73,14,42,43,43,79,79
14,0,4,31,73,14,42,43,43,79,79
14,0,1,31,73,14,42,43,43,79,79
14,0,1,4,73,14,42,43,43,79,79
14,0,1,4,31,14,42,43,43,79,79
33,6,36,43,74,86,42,43,43,79,79
33,6,7,43,74,86,42,43,43,79,79
33,7,36,43,74,86,42,43,43,79,79
33,6,36,43,74,86,42,43,43,79,79
33,6,7,43,74,86,42,43,43,79,79
33,6,7,36,74,86,42,43,43,79,79
33,6,7,36,43,86,42,43,43,79,79
33,6,7,36,43,74,42,43,43,79,79
33,6,7,36,43,74,86,43,43,79,79
33,6,7,36,43,74,86,43,43,79,79
1,8,9,33,57,14,42,43,43,79,79
1,9,33,57,33,14,42,43,43,79,79
1,8,33,57,33,14,42,43,43,79,79
1,8,9,57,33,14,42,43,43,79,79
1,8,9,33,33,14,42,43,43,79,79
1,8,9,33,57,14,42,43,43,79,79
1,8,9,33,57,14,42,43,43,79,79
1,9,33,57,33,14,42,43,43,79,79
1,8,33,57,33,14,42,43,43,79,79
1,8,9,33,33,14,42,43,43,79,79
12,10,11,37,41,75,60,65,78,105,109
12,10,11,37,41,75,60,65,78,105,109
12,11,37,41,75,60,65,78,105,109,79
12,10,37,41,75,60,65,78,105,109,79
12,10,11,41,75,60,65,78,105,109,79
12,10,11,37,75,60,65,78,105,109,79
12,10,11,37,41,60,65,78,105,109,79
12,10,11,37,41,75,65,78,105,109,79
12,10,11,37,41,75,60,78,105,109,79
12,10,11,37,41,75,60,65,105,109,79
17,6,12,38,58,14,42,43,43,79,79
17,6,12,38,58,14,42,43,43,79,79
17,12,38,58,33,14,42,43,43,79,79
17,6,38,58,33,14,42,43,43,79,79
17,6,12,58,33,14,42,43,43,79,79
